Name,Image-html,Skills,What Happened,Context,Outcome,Checkout-href,Checkout-name,Status,Priority,Priority
Pauloco.com,https://pauloco-87c8d.web.app/pablo.jpg,"Javascript, UX/UI Design, React, Google Sheets",I designed and coded a simple website where I showcase my projects.,I had no website.,Other people can now see my projects.,Github repo with code,https://github.com/Paulocochile/pauloco,Acceptable (Update Readme),5,"Design, Engineering"
A new IT support channel and knowledge base,https://pauloco-87c8d.web.app/google.jpg,"Program Management, Demand Estimation , UX Research, Public Speaking, Product Design",I designed and implemented of a new IT support channel and knowledge base for Google. ,This project started from a design thinking iteration I did to find innovation opportunities within Google's operations.,"This channel overwhelmingly surpassed expectations as it helped ten times more users than initially projected. Using a small fraction of the resources required by other channels, its ROI is unparalleled.",I wrote a thesis about this project,https://pauloco-87c8d.web.app/Ayala_Raineri_Pablo_2020.pdf,Acceptable,0,"Management, Design"
Memoryoak,https://pauloco-87c8d.web.app/memoryoak.png,"Business Administration, User Experience, Product Design, Javascript, React",I started a new company together with a business partner. I was a CEO and a front-end developer & designer.,I wanted to develop a new family platform to store and share photo albums.,"I learned what it takes to start a company, build a front end and provide a good user experience for a new product.",MVP Screenshots,https://drive.google.com/drive/folders/1-aVCURzuO3gwWB75-43DHwtzaMFK3UQp?usp=sharing,Acceptable,0,"Engineering, Design, Management"
Tackling diabetes,https://pauloco-87c8d.web.app/DesignCentral.jpg,"UX Research, Design Thinking, Product Design",I went through a design thinking process to innovate within proactive health.,Partnership between Design Central and my University,"We designed a device for diagnosing pre-diabetes, which the University exhibited for years.",Final Presentation,https://pauloco-87c8d.web.app/DilabFinal.pdf,Acceptable,1,Design
Implementing a new Policy in Search SRE,https://pauloco-87c8d.web.app/google.jpg,Technical Program Management,I coordinated the implementation of a new policy across different servers managed by SRE teams.,Google wanted to lower the risk of future outages in their Search engine.,"I executed the implementation, making Google Search and Assistant a bit more reliable.",No Link (Confidential),,Acceptable,2,"Engineering, Management"
Objectives & Key Results Automation,https://pauloco-87c8d.web.app/google.jpg,"Javascript, Apps Scripts, Product Design",I developed two Apps Scripts web applications to automate the creation and synchronization of planning documents.,I wanted to reduce Technical Program Managers' overhead.,I automated a couple of hours of work for Technical Program Managers.,No Link (Confidential),,Acceptable,2,"Engineering, Management"
Using Machine Learning to classify Biden & Trump Tweets,https://pauloco-87c8d.web.app/automl.jpg,"Python, Machine Learning, AutoML",I classified Biden and Trump tweets from the last for years into categories inspired by other clustering efforts.,I wanted to learn machine learning while applying this technology to something fun.,"I created charts to showcase the results, which give an idea of each politicians' behavior on Twitter.",Github repo with code & results,https://github.com/Paulocochile/profilebreakdown,Acceptable,1,Engineering
UX/UI Reviews for data dashboards,https://pauloco-87c8d.web.app/google.jpg,UX/UI Design,I reviewed the UX and UI of two data dashboards. ,"One review was for an operations dashboard, and the other for a financial insights dashboard. ","My proposals for information hierarchies and visual consistency were applied, improving the overall user experience of users.",No Link (Confidential),,Acceptable,2,Design
Consulting a new line of business,https://pauloco-87c8d.web.app/logicsoft.jpg,"Management, Finance, Demand Estimation",I was part of a team that estimated the potential of a new line of business for Logicsoft.,Partnership between Logicsoft and my University,We recommended not to create the new line of business as conservative estimates of demand showed it wasn't profitable.,Final Presentation,https://pauloco-87c8d.web.app/ConsultingLogicsoft.pdf,Acceptable,2,Management
Executive MBA candidate,https://pauloco-87c8d.web.app/tcd.JPG,Business Administration,"I'm studying a part-time MBA, which is 65% project-work and 35% class-work.",I want more BA experience to be a better product manager and entrepeneur.,TBD.,Trinity Business School,https://www.tcd.ie/business/,Acceptable,0,Management
